timestamp,user5_kbps,router_kbps,label
1780000110,3.2586,40.9878,0
1780000469,905.6696,711.9117,1
1780000815,445.0787,316.026,1
1780000077,7.4356,32.5721,0
1780000181,1.3351,23.7401,0
1780000334,918.4566,733.9371,1
1780000010,0.1863,48.5228,0
1780000619,106.1002,152.4354,1
1780000078,9.1204,68.5273,0
1780000399,877.882,716.3668,1
1780000055,2.4041,27.9413,0
1780000118,4.902,21.0275,0
1780000109,0.0,41.6194,0
1780000843,210.4888,109.6272,1
1780000419,885.5834,753.2271,1
1780000234,27.4917,71.4766,0
1780000030,0.0,24.9824,0
1780000212,2.841,20.2124,0
1780000184,3.0884,20.9244,0
1780000086,0.0,31.8645,0
1780000002,52.1824,92.6476,0
1780000842,316.02,220.6614,1
1780000685,96.5981,130.1885,1
1780000851,75.2182,45.7328,1
1780000418,909.2414,760.1514,1
1780000689,118.3621,157.9076,1
1780000072,6.3854,33.8532,0
1780000135,4.1125,39.7631,0
1780000806,177.8179,125.8652,1
1780000487,819.077,595.0948,1
1780000850,84.0568,55.4835,1
1780000163,23.9606,63.601,0
1780000082,31.0503,68.5509,0
1780000307,741.8068,643.1362,1
1780000192,0.0,30.474,0
1780000603,146.5373,162.5988,1
1780000132,5.7814,22.2699,0
1780000665,127.7257,181.2502,1
1780000491,890.9291,749.5343,1
1780000325,915.7138,695.4153,1
1780000414,780.1085,683.1613,1
1780000029,0.0,37.4371,0
1780000656,122.1076,175.0973,1
1780000820,546.6354,372.9178,1
1780000024,7.8931,23.5488,0
1780000182,0.2608,21.3601,0
1780000623,120.4115,158.435,1
1780000104,0.2851,38.496,0
1780000063,8.3959,39.4054,0
1780000640,100.2432,112.7091,1
1780000245,0.0,20.6264,0
1780000248,0.0,36.0601,0
1780000101,0.0789,51.1132,0
1780000805,117.0924,77.4517,1
1780000846,153.2511,104.0327,1
1780000406,811.8066,610.4386,1
1780000209,0.0,21.83,0
1780000165,5.4598,7.172,0
1780000137,13.2608,11.8987,0
1780000195,0.0,19.6737,0
1780000076,0.0,20.6217,0
1780000176,4.9362,44.7994,0
1780000379,996.3167,782.6612,1
1780000686,95.7986,117.2907,1
1780000698,155.33,156.746,1
1780000070,0.0,14.8515,0
1780000811,243.9499,171.9926,1
1780000844,271.6127,167.2258,1
1780000081,33.3042,67.72,0
1780000366,961.0297,676.8089,1
1780000354,983.2799,781.553,1
1780000006,0.0,15.877,0
1780000473,793.1086,627.3838,1
1780000424,748.228,646.1647,1
1780000479,844.1521,608.6219,1
1780000687,79.9421,94.8614,1
1780000362,861.8474,739.5897,1
1780000238,0.0,22.2218,0
1780000809,224.6633,140.2746,1
1780000482,885.4467,744.2118,1
1780000336,773.9206,668.5285,1
1780000476,880.0062,667.3373,1
1780000853,44.791,25.3009,0
1780000411,844.176,690.9425,1
1780000073,6.8476,21.9106,0
1780000039,0.0,44.0396,0
1780000155,0.0,44.4434,0
1780000218,5.8752,37.2577,0
1780000420,747.5815,655.0116,1
1780000210,5.5725,25.2234,0
1780000235,16.1087,3.4065,0
1780000696,118.83,164.2756,1
1780000060,19.9262,34.7383,0
1780000350,754.1726,613.5866,1
1780000309,751.5038,566.9806,1
1780000330,878.5234,624.0021,1
1780000228,3.0341,27.2728,0
1780000011,0.7308,29.9447,0
1780000462,960.587,821.6086,1
1780000083,0.0,26.6518,0
1780000090,19.1236,34.0498,0
1780000208,6.4549,32.4822,0
1780000688,78.8633,81.7495,1
1780000385,884.0234,648.3488,1
1780000079,15.6471,39.882,0
1780000484,797.9384,641.1773,1
1780000140,0.0,48.3146,0
1780000331,848.9099,695.5701,1
1780000318,752.6114,664.4673,1
1780000464,928.3072,766.08,1
1780000199,2.4522,26.8094,0
1780000614,132.9842,161.2761,1
1780000830,600.265,311.6018,1
1780000839,445.6548,234.9884,1
1780000421,961.5531,678.7117,1
1780000449,908.1047,675.7697,1
1780000390,766.1459,564.8699,1
1780000148,5.9624,35.1444,0
1780000644,124.6995,154.2926,1
1780000489,940.176,695.7585,1
1780000145,7.0751,33.0235,0
1780000009,0.198,39.4744,0
1780000425,949.6403,761.1305,1
1780000673,66.1923,87.9644,1
1780000188,0.0,35.706,0
1780000131,5.5572,39.835,0
1780000822,533.3032,345.2467,1
1780000348,983.2178,696.0055,1
1780000841,295.9375,190.4416,1
1780000496,801.8351,691.9556,1
1780000084,0.0,36.796,0
1780000847,146.4193,82.6792,1
1780000177,23.9946,40.1453,0
1780000153,31.3271,75.9183,0
1780000602,80.9458,87.4031,1
1780000196,7.9692,23.9601,0
1780000075,11.9796,40.662,0
1780000092,0.0,25.1577,0
1780000346,774.9004,618.2814,1
1780000068,0.0,34.8247,0
1780000015,0.0,14.1671,0
1780000204,7.6154,27.809,0
1780000158,0.0,29.4445,0
1780000088,9.0399,38.6576,0
1780000647,76.6133,80.9006,1
1780000117,11.1654,36.6706,0
1780000432,988.8976,759.8436,1
1780000455,819.2783,618.4265,1
1780000033,15.9749,31.7555,0
1780000000,8.9737,28.6174,0
1780000848,131.0391,74.8233,1
1780000681,138.7704,168.9935,1
1780000403,958.6383,826.2534,1
1780000382,935.9035,671.8685,1
1780000684,89.0815,105.404,1
1780000244,2.1123,41.5933,0
1780000022,0.0,18.0379,0
1780000490,750.2448,540.8616,1
1780000116,0.0,17.8581,0
1780000089,2.326,26.8215,0
1780000415,939.2278,781.1467,1
1780000211,2.2198,38.2914,0
1780000018,32.2319,87.3225,0
1780000457,968.2298,722.2906,1
1780000370,930.1565,725.8813,1
1780000144,0.0,24.0062,0
1780000339,808.2922,580.6095,1
1780000324,786.6081,606.5807,1
1780000691,94.8775,135.833,1
1780000410,955.3621,763.3623,1
1780000300,788.3397,701.3785,1
1780000337,939.8248,788.4559,1
1780000678,147.2441,176.9978,1
1780000450,724.7143,605.9335,1
1780000167,11.8108,23.7964,0
1780000054,6.8197,43.0714,0
1780000643,58.8505,80.5193,1
1780000046,9.6949,51.9046,0
1780000093,3.1009,48.7201,0
1780000314,761.9264,535.0241,1
1780000108,4.8328,31.1733,0
1780000322,724.8396,594.8254,1
1780000854,19.996,12.6754,0
1780000629,80.9593,116.2069,1
1780000486,709.9609,508.1302,1
1780000433,889.7866,788.7118,1
1780000430,933.9536,673.7505,1
1780000612,82.0567,101.0374,1
1780000444,846.593,723.0594,1
1780000315,741.0657,652.1406,1
1780000630,101.7571,127.9502,1
1780000667,107.2034,140.321,1
1780000069,4.0069,37.4034,0
1780000231,0.0,28.3546,0
1780000453,829.7004,737.374,1
1780000328,919.7716,683.3794,1
1780000622,150.7982,166.6819,1
1780000400,727.4461,636.8733,1
1780000659,69.6634,70.7074,1
1780000149,13.4836,45.4137,0
1780000124,0.0,15.9254,0
1780000478,933.9553,661.1692,1
1780000615,91.3232,108.2654,1
1780000185,6.8986,32.7358,0
1780000227,0.0,27.3926,0
1780000341,985.0712,777.4193,1
1780000247,0.0,21.8369,0
1780000340,975.1941,709.3208,1
1780000249,14.9736,8.3012,0
1780000493,715.5914,578.3834,1
1780000801,22.9218,18.0029,0
1780000802,41.4464,32.6137,0
1780000800,0.0,0.0,0
1780000114,7.5933,28.6986,0
1780000203,13.4127,21.5646,0
1780000141,4.4111,27.1778,0
1780000388,882.321,708.0959,1
1780000007,0.0,35.9772,0
1780000671,77.6459,103.2258,1
1780000019,12.1547,37.55,0
1780000172,3.9767,20.4446,0
1780000601,63.5711,65.4895,1
1780000056,7.0791,37.8182,0
1780000351,974.6465,688.8696,1
1780000386,997.3506,744.357,1
1780000600,110.2723,150.6093,1
1780000372,962.1031,862.8302,1
1780000360,801.9625,677.6209,1
1780000049,5.0732,26.3446,0
1780000394,998.4723,733.6566,1
1780000025,16.9635,33.3818,0
1780000492,709.4758,629.4771,1
1780000220,20.0562,43.4542,0
1780000633,156.7883,177.0244,1
1780000690,120.0465,147.8669,1
1780000042,3.4611,33.0155,0
1780000466,976.2544,803.7796,1
1780000311,735.3253,599.5132,1
1780000458,763.9314,539.5088,1
1780000327,899.1013,797.8319,1
1780000819,432.0022,277.5221,1
1780000431,928.3084,750.3083,1
1780000461,990.458,730.0717,1
1780000154,0.0,36.8605,0
